ID,Conversation,Clean_Conversation
1,hi!!! how are you? 😊,hi how are you
2,i'm doing great!!! 😍😍,im doing great
3,visit our website: https://www.example.com for more details.,visit our website for more details
4,my email is nandhini1706@gmail.com 📧,my email is
5,"meeting tomorrow @ 10:30 am, don't be late! ⏰",meeting tomorrow am dont be late
6,wow!!! this movie was amazing 🍿🔥 #mustwatch,wow this movie was amazing mustwatch
7,i can't believe this happened!!! 😭😭,i cant believe this happened
8,congratulations!!! 🎉🎉 you scored 95%.,congratulations you scored
9,call me at 9876543210 ☎️,call me at
10,follow us @openai and #ai #machinelearning 🤖,follow us and ai machinelearning
11,<b>hello</b> welcome to our website!,hello welcome to our website
12,the product costs ₹999 only!!! 💰,the product costs only
13,lol 😂😂 that's sooo funny!!!!,lol thats sooo funny
14,i'm soooo excited for the trip ✈️🌍,im soooo excited for the trip
15,worst experience ever!!! 😡😡 never buying again.,worst experience ever never buying again
16,order id: ord12345 has been shipped 🚚,order id ord has been shipped
17,check this video 👉 https://youtu.be/abcd1234,check this video
18,python > java? 🤔 what do you think?,python java what do you think
19,good morning!!! 🌞 have a wonderful day.,good morning have a wonderful day
20,bye!!! take care ❤️😊,bye take care
