ID,Conversation
1,"Hi!!! How are you? 😊"
2,"I'm doing GREAT!!! 😍😍"
3,"Visit our website: https://www.example.com for more details."
4,"My email is nandhini1706@gmail.com 📧"
5,"Meeting tomorrow @ 10:30 AM, don't be late! ⏰"
6,"Wow!!! This movie was AMAZING 🍿🔥 #MustWatch"
7,"I can't believe this happened!!! 😭😭"
8,"Congratulations!!! 🎉🎉 You scored 95%."
9,"Call me at 9876543210 ☎️"
10,"Follow us @OpenAI and #AI #MachineLearning 🤖"
11,"<b>Hello</b> Welcome to our website!"
12,"The product costs ₹999 only!!! 💰"
13,"LOL 😂😂 That's sooo funny!!!!"
14,"I'm soooo excited for the trip ✈️🌍"
15,"Worst experience ever!!! 😡😡 Never buying again."
16,"Order ID: ORD12345 has been shipped 🚚"
17,"Check this video 👉 https://youtu.be/abcd1234"
18,"Python > Java? 🤔 What do you think?"
19,"Good Morning!!! 🌞 Have a wonderful day."
20,"Bye!!! Take care ❤️😊"
